"","row_id","num_reps","num_taxa","num_trees","tree_depth","recombination_value","recombination_type","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","starting_tree_file","gene_tree_file","partition_file","output_alignment_file"
"11",11,1,20,250,0.1,0,"Ancient","exp2_00250_0020_001_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_001_0.1_0_Ancient/exp2_00250_0020_001_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_001_0.1_0_Ancient/exp2_00250_0020_001_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_001_0.1_0_Ancient/exp2_00250_0020_001_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_001_0.1_0_Ancient/exp2_00250_0020_001_0.1_0_Ancient_output_alignment.fa"
"12",12,2,20,250,0.1,0,"Ancient","exp2_00250_0020_002_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_002_0.1_0_Ancient/exp2_00250_0020_002_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_002_0.1_0_Ancient/exp2_00250_0020_002_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_002_0.1_0_Ancient/exp2_00250_0020_002_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_002_0.1_0_Ancient/exp2_00250_0020_002_0.1_0_Ancient_output_alignment.fa"
"13",13,3,20,250,0.1,0,"Ancient","exp2_00250_0020_003_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_003_0.1_0_Ancient/exp2_00250_0020_003_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_003_0.1_0_Ancient/exp2_00250_0020_003_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_003_0.1_0_Ancient/exp2_00250_0020_003_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_003_0.1_0_Ancient/exp2_00250_0020_003_0.1_0_Ancient_output_alignment.fa"
"14",14,4,20,250,0.1,0,"Ancient","exp2_00250_0020_004_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_004_0.1_0_Ancient/exp2_00250_0020_004_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_004_0.1_0_Ancient/exp2_00250_0020_004_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_004_0.1_0_Ancient/exp2_00250_0020_004_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_004_0.1_0_Ancient/exp2_00250_0020_004_0.1_0_Ancient_output_alignment.fa"
"15",15,5,20,250,0.1,0,"Ancient","exp2_00250_0020_005_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_005_0.1_0_Ancient/exp2_00250_0020_005_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_005_0.1_0_Ancient/exp2_00250_0020_005_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_005_0.1_0_Ancient/exp2_00250_0020_005_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_005_0.1_0_Ancient/exp2_00250_0020_005_0.1_0_Ancient_output_alignment.fa"
"16",16,6,20,250,0.1,0,"Ancient","exp2_00250_0020_006_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_006_0.1_0_Ancient/exp2_00250_0020_006_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_006_0.1_0_Ancient/exp2_00250_0020_006_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_006_0.1_0_Ancient/exp2_00250_0020_006_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_006_0.1_0_Ancient/exp2_00250_0020_006_0.1_0_Ancient_output_alignment.fa"
"17",17,7,20,250,0.1,0,"Ancient","exp2_00250_0020_007_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_007_0.1_0_Ancient/exp2_00250_0020_007_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_007_0.1_0_Ancient/exp2_00250_0020_007_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_007_0.1_0_Ancient/exp2_00250_0020_007_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_007_0.1_0_Ancient/exp2_00250_0020_007_0.1_0_Ancient_output_alignment.fa"
"18",18,8,20,250,0.1,0,"Ancient","exp2_00250_0020_008_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_008_0.1_0_Ancient/exp2_00250_0020_008_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_008_0.1_0_Ancient/exp2_00250_0020_008_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_008_0.1_0_Ancient/exp2_00250_0020_008_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_008_0.1_0_Ancient/exp2_00250_0020_008_0.1_0_Ancient_output_alignment.fa"
"19",19,9,20,250,0.1,0,"Ancient","exp2_00250_0020_009_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_009_0.1_0_Ancient/exp2_00250_0020_009_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_009_0.1_0_Ancient/exp2_00250_0020_009_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_009_0.1_0_Ancient/exp2_00250_0020_009_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_009_0.1_0_Ancient/exp2_00250_0020_009_0.1_0_Ancient_output_alignment.fa"
"20",20,10,20,250,0.1,0,"Ancient","exp2_00250_0020_010_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_010_0.1_0_Ancient/exp2_00250_0020_010_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_010_0.1_0_Ancient/exp2_00250_0020_010_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_010_0.1_0_Ancient/exp2_00250_0020_010_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_010_0.1_0_Ancient/exp2_00250_0020_010_0.1_0_Ancient_output_alignment.fa"
"21",21,1,50,250,0.1,0,"Ancient","exp2_00250_0050_001_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_001_0.1_0_Ancient/exp2_00250_0050_001_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_001_0.1_0_Ancient/exp2_00250_0050_001_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_001_0.1_0_Ancient/exp2_00250_0050_001_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_001_0.1_0_Ancient/exp2_00250_0050_001_0.1_0_Ancient_output_alignment.fa"
"22",22,2,50,250,0.1,0,"Ancient","exp2_00250_0050_002_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_002_0.1_0_Ancient/exp2_00250_0050_002_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_002_0.1_0_Ancient/exp2_00250_0050_002_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_002_0.1_0_Ancient/exp2_00250_0050_002_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_002_0.1_0_Ancient/exp2_00250_0050_002_0.1_0_Ancient_output_alignment.fa"
"23",23,3,50,250,0.1,0,"Ancient","exp2_00250_0050_003_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_003_0.1_0_Ancient/exp2_00250_0050_003_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_003_0.1_0_Ancient/exp2_00250_0050_003_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_003_0.1_0_Ancient/exp2_00250_0050_003_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_003_0.1_0_Ancient/exp2_00250_0050_003_0.1_0_Ancient_output_alignment.fa"
"24",24,4,50,250,0.1,0,"Ancient","exp2_00250_0050_004_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_004_0.1_0_Ancient/exp2_00250_0050_004_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_004_0.1_0_Ancient/exp2_00250_0050_004_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_004_0.1_0_Ancient/exp2_00250_0050_004_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_004_0.1_0_Ancient/exp2_00250_0050_004_0.1_0_Ancient_output_alignment.fa"
"25",25,5,50,250,0.1,0,"Ancient","exp2_00250_0050_005_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_005_0.1_0_Ancient/exp2_00250_0050_005_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_005_0.1_0_Ancient/exp2_00250_0050_005_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_005_0.1_0_Ancient/exp2_00250_0050_005_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_005_0.1_0_Ancient/exp2_00250_0050_005_0.1_0_Ancient_output_alignment.fa"
"26",26,6,50,250,0.1,0,"Ancient","exp2_00250_0050_006_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_006_0.1_0_Ancient/exp2_00250_0050_006_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_006_0.1_0_Ancient/exp2_00250_0050_006_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_006_0.1_0_Ancient/exp2_00250_0050_006_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_006_0.1_0_Ancient/exp2_00250_0050_006_0.1_0_Ancient_output_alignment.fa"
"27",27,7,50,250,0.1,0,"Ancient","exp2_00250_0050_007_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_007_0.1_0_Ancient/exp2_00250_0050_007_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_007_0.1_0_Ancient/exp2_00250_0050_007_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_007_0.1_0_Ancient/exp2_00250_0050_007_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_007_0.1_0_Ancient/exp2_00250_0050_007_0.1_0_Ancient_output_alignment.fa"
"28",28,8,50,250,0.1,0,"Ancient","exp2_00250_0050_008_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_008_0.1_0_Ancient/exp2_00250_0050_008_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_008_0.1_0_Ancient/exp2_00250_0050_008_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_008_0.1_0_Ancient/exp2_00250_0050_008_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_008_0.1_0_Ancient/exp2_00250_0050_008_0.1_0_Ancient_output_alignment.fa"
"29",29,9,50,250,0.1,0,"Ancient","exp2_00250_0050_009_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_009_0.1_0_Ancient/exp2_00250_0050_009_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_009_0.1_0_Ancient/exp2_00250_0050_009_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_009_0.1_0_Ancient/exp2_00250_0050_009_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_009_0.1_0_Ancient/exp2_00250_0050_009_0.1_0_Ancient_output_alignment.fa"
"30",30,10,50,250,0.1,0,"Ancient","exp2_00250_0050_010_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_010_0.1_0_Ancient/exp2_00250_0050_010_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_010_0.1_0_Ancient/exp2_00250_0050_010_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_010_0.1_0_Ancient/exp2_00250_0050_010_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_010_0.1_0_Ancient/exp2_00250_0050_010_0.1_0_Ancient_output_alignment.fa"
"31",31,1,100,250,0.1,0,"Ancient","exp2_00250_0100_001_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_001_0.1_0_Ancient/exp2_00250_0100_001_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_001_0.1_0_Ancient/exp2_00250_0100_001_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_001_0.1_0_Ancient/exp2_00250_0100_001_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_001_0.1_0_Ancient/exp2_00250_0100_001_0.1_0_Ancient_output_alignment.fa"
"32",32,2,100,250,0.1,0,"Ancient","exp2_00250_0100_002_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_002_0.1_0_Ancient/exp2_00250_0100_002_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_002_0.1_0_Ancient/exp2_00250_0100_002_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_002_0.1_0_Ancient/exp2_00250_0100_002_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_002_0.1_0_Ancient/exp2_00250_0100_002_0.1_0_Ancient_output_alignment.fa"
"33",33,3,100,250,0.1,0,"Ancient","exp2_00250_0100_003_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_003_0.1_0_Ancient/exp2_00250_0100_003_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_003_0.1_0_Ancient/exp2_00250_0100_003_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_003_0.1_0_Ancient/exp2_00250_0100_003_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_003_0.1_0_Ancient/exp2_00250_0100_003_0.1_0_Ancient_output_alignment.fa"
"34",34,4,100,250,0.1,0,"Ancient","exp2_00250_0100_004_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_004_0.1_0_Ancient/exp2_00250_0100_004_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_004_0.1_0_Ancient/exp2_00250_0100_004_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_004_0.1_0_Ancient/exp2_00250_0100_004_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_004_0.1_0_Ancient/exp2_00250_0100_004_0.1_0_Ancient_output_alignment.fa"
"35",35,5,100,250,0.1,0,"Ancient","exp2_00250_0100_005_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_005_0.1_0_Ancient/exp2_00250_0100_005_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_005_0.1_0_Ancient/exp2_00250_0100_005_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_005_0.1_0_Ancient/exp2_00250_0100_005_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_005_0.1_0_Ancient/exp2_00250_0100_005_0.1_0_Ancient_output_alignment.fa"
"36",36,6,100,250,0.1,0,"Ancient","exp2_00250_0100_006_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_006_0.1_0_Ancient/exp2_00250_0100_006_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_006_0.1_0_Ancient/exp2_00250_0100_006_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_006_0.1_0_Ancient/exp2_00250_0100_006_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_006_0.1_0_Ancient/exp2_00250_0100_006_0.1_0_Ancient_output_alignment.fa"
